Lender_Type,Customer_ID,Loan_ID,Loan_Type,Loan_Purpose,Loan_Amount,Interest_Rate,Loan_Term_Months,Start_Date,End_Date,Repayment_Status,NPA_Status,Pending_Amount,Non_Repayment_EMIs,Default_Date,Recovery_Status,Collateral,Guarantor,Prepayment_Option,EMI_Amount,Name,Age,Gender,Account_Type,Credit_Score,Customer_Segment,Branch_Location
Bank,C324,L1204,Business Loan,Working Capital,612267,7.8,120,2023-09-28,2033-08-06,Ongoing,No,612267,6,,Active,Factory,Husband,Yes,5102.0,Rohit Gupta,28,M,Savings,600,Retail,Gurugram
Bank,C691,L169,Personal Loan,Debt Consolidation,2603543,7.6,48,2021-12-31,2025-12-10,Ongoing,No,2603543,5,,Active,None,Mother,Yes,54240.0,Vikram Sharma,38,F,Savings,793,SME,Chennai
Bank,C866,L1946,Car Loan,Vehicle Purchase,625957,14.5,24,2025-04-12,2027-04-02,Ongoing,No,625957,2,,Active,Car,Mother,No,26082.0,Shalini Desai,28,F,Current,604,Corporate,Hyderabad
Bank,C1166,L798,Car Loan,Vehicle Purchase,3527210,11.0,48,2022-05-07,2026-04-16,Ongoing,No,3527210,2,,Active,Car,Mother,No,73484.0,Sunita Nair,22,M,Savings,717,Corporate,Jaipur
Bank,C1235,L1850,Business Loan,Working Capital,1142780,14.9,36,2020-08-05,2023-07-21,Ongoing,No,1142780,6,,Active,Factory,Father,No,31744.0,Rahul Rao,33,F,Current,732,Corporate,Bangalore
Bank,C1476,L1519,Business Loan,Startup Funding,3150470,13.9,120,2022-08-24,2032-07-02,Closed,No,0,0,,Closed,Factory,None,No,26254.0,Sneha Kumar,24,M,Savings,760,Corporate,Lucknow
Bank,C1496,L1262,Education Loan,Higher Education,2417500,8.2,24,2023-02-08,2025-01-28,Ongoing,No,2417500,3,,Active,None,Wife,Yes,100729.0,Shalini Rao,56,M,Current,722,Corporate,Gurugram
Bank,C72,L967,Education Loan,Higher Education,1839424,12.0,60,2024-10-26,2029-09-30,Ongoing,No,1839424,3,,Active,None,None,No,30657.0,Arjun Gupta,25,F,Current,624,Corporate,Pune
Bank,C97,L444,Personal Loan,Debt Consolidation,2450126,14.9,60,2021-03-28,2026-03-02,Ongoing,No,2450126,0,,Active,None,None,Yes,40835.0,Arjun Rao,50,F,Current,795,SME,Kolkata
Bank,C1296,L1895,Education Loan,Higher Education,1245732,11.2,60,2021-02-23,2026-01-28,Defaulted,No,1245732,3,2024-03-07,Recovery,None,Wife,No,20762.0,Rajesh Rathi,35,M,Savings,629,SME,Patna
Bank,C1524,L1460,Business Loan,Startup Funding,2762431,13.0,36,2025-10-26,2028-10-10,Ongoing,No,2762431,1,,Active,Factory,Wife,No,76734.0,Rahul Iyer,57,M,Savings,672,Corporate,Ahmedabad
Bank,C691,L1037,Personal Loan,Debt Consolidation,1903255,10.2,48,2020-02-18,2024-01-28,Ongoing,No,1903255,1,,Active,None,None,Yes,39651.0,Arjun Mehta,27,M,Current,786,Retail,Gurugram
Bank,C1198,L1708,Business Loan,Working Capital,1094125,11.6,60,2024-12-07,2029-11-11,Ongoing,No,1094125,0,,Active,Factory,Wife,No,18235.0,Rajesh Nair,26,M,Savings,718,Corporate,Kolkata
Bank,C1848,L1601,Car Loan,Vehicle Purchase,251339,8.2,240,2022-07-27,2042-04-13,Ongoing,No,251339,5,,Active,Car,None,Yes,1047.0,Amit Gupta,27,F,Savings,657,SME,Kolkata
Bank,C1259,L1793,Personal Loan,Debt Consolidation,791674,14.9,96,2020-05-19,2028-04-07,Ongoing,No,791674,5,,Active,None,Husband,No,8247.0,Suresh Kumar,41,M,Current,614,Corporate,Bangalore
Bank,C103,L1511,Education Loan,Overseas Study,730330,13.4,48,2025-11-23,2029-11-02,Ongoing,No,730330,2,,Active,None,Husband,Yes,15215.0,Suresh Desai,43,M,Current,614,Retail,Patna
Bank,C1330,L1040,Education Loan,Overseas Study,810710,12.1,120,2025-08-22,2035-07-01,Ongoing,No,810710,4,,Active,None,Father,Yes,6756.0,Shalini Malhotra,54,M,Current,660,Retail,Kolkata
Bank,C624,L790,Business Loan,Business Expansion,850031,11.0,48,2019-06-10,2023-05-20,Ongoing,No,850031,5,,Active,Factory,Brother,Yes,17709.0,Sneha Patel,41,M,Current,709,Retail,Hyderabad
Bank,C1261,L600,Car Loan,Vehicle Purchase,1187855,12.6,36,2020-03-07,2023-02-20,Ongoing,No,1187855,0,,Active,Car,Brother,Yes,32996.0,Deepak Bansal,47,M,Current,767,Retail,Gurugram
Bank,C590,L1192,Business Loan,Startup Funding,1573848,12.5,48,2024-03-21,2028-02-29,Closed,No,0,0,,Closed,Factory,Wife,No,32788.0,Deepak Mehta,57,F,Current,676,Corporate,Jaipur
Bank,C1717,L428,Car Loan,Vehicle Purchase,4225547,9.7,60,2024-12-27,2029-12-01,Closed,No,0,0,,Closed,Car,Wife,No,70426.0,Neha Kumar,57,M,Savings,634,Corporate,Bangalore
Bank,C1046,L45,Home Loan,Renovation,4999992,11.9,36,2019-02-03,2022-01-18,Defaulted,Yes,4999992,1,2024-06-07,Recovery,House,Wife,Yes,138889.0,Anita Rathi,34,M,Savings,762,Corporate,Hyderabad
Bank,C293,L1293,Car Loan,Vehicle Purchase,2457851,11.3,120,2024-01-02,2033-11-10,Ongoing,No,2457851,5,,Active,Car,Father,No,20482.0,Anjali Desai,46,M,Current,760,SME,Patna
Bank,C1800,L1664,Home Loan,Renovation,3984160,9.6,120,2021-10-09,2031-08-18,Ongoing,No,3984160,6,,Active,House,None,No,33201.0,Rohit Rao,39,F,Savings,657,Retail,Lucknow
Bank,C297,L159,Home Loan,Residential Property,1421905,12.6,240,2024-02-04,2043-10-22,Ongoing,No,1421905,2,,Active,House,Husband,Yes,5925.0,Sneha Desai,53,F,Savings,784,Corporate,Delhi
Bank,C626,L1895,Business Loan,Working Capital,3337687,9.9,24,2019-09-21,2021-09-10,Closed,No,0,0,,Closed,Factory,Father,Yes,139070.0,Anita Kumar,60,F,Current,626,SME,Lucknow
Bank,C952,L1206,Personal Loan,Wedding Expenses,4998075,7.4,24,2022-10-28,2024-10-17,Closed,No,0,0,,Closed,None,Husband,No,208253.0,Rahul Kumar,32,M,Savings,667,Retail,Lucknow
Bank,C729,L239,Personal Loan,Debt Consolidation,376594,10.3,60,2019-01-04,2023-12-09,Ongoing,No,376594,5,,Active,None,None,Yes,6277.0,Suresh Gupta,46,M,Current,627,Retail,Patna
Bank,C636,L65,Business Loan,Working Capital,3361232,12.5,240,2023-12-16,2043-09-02,Ongoing,No,3361232,6,,Active,Factory,Father,No,14005.0,Anjali Iyer,41,M,Current,633,Retail,Jaipur
Bank,C1614,L1191,Education Loan,Overseas Study,241167,9.5,48,2022-06-17,2026-05-27,Closed,No,0,0,,Closed,None,Mother,No,5024.0,Deepak Patel,31,M,Savings,686,Corporate,Pune
Bank,C1633,L102,Car Loan,Vehicle Purchase,2086865,9.5,48,2021-08-27,2025-08-06,Defaulted,Yes,2086865,4,2026-06-26,Recovery,Car,Mother,No,43476.0,Rahul Joshi,30,M,Current,699,Retail,Patna
Bank,C453,L529,Car Loan,Vehicle Purchase,689330,11.8,180,2021-11-27,2036-09-09,Ongoing,No,689330,1,,Active,Car,Brother,Yes,3830.0,Neha Gupta,36,F,Savings,751,Corporate,Pune
Bank,C1245,L1017,Education Loan,Higher Education,388150,9.7,96,2020-04-23,2028-03-12,Defaulted,Yes,388150,2,2025-12-26,Recovery,None,Wife,Yes,4043.0,Pooja Iyer,46,M,Current,701,SME,Chennai
Bank,C1582,L1262,Personal Loan,Debt Consolidation,1476689,14.3,60,2022-02-11,2027-01-16,Ongoing,No,1476689,2,,Active,None,Mother,No,24611.0,Meera Kapoor,46,F,Current,786,SME,Chennai
Bank,C1186,L955,Business Loan,Working Capital,375191,9.4,36,2024-05-09,2027-04-24,Ongoing,No,375191,3,,Active,Factory,Father,Yes,10422.0,Rajesh Iyer,38,M,Current,663,SME,Lucknow
Bank,C848,L1536,Home Loan,Renovation,3949757,8.1,120,2024-12-30,2034-11-08,Ongoing,No,3949757,5,,Active,House,Wife,No,32915.0,Anita Gupta,57,M,Current,671,SME,Patna
Bank,C657,L727,Car Loan,Vehicle Purchase,3771880,12.8,180,2024-02-12,2038-11-25,Ongoing,No,3771880,2,,Active,Car,Mother,Yes,20955.0,Arjun Verma,47,M,Savings,753,Retail,Ahmedabad
Bank,C249,L126,Personal Loan,Debt Consolidation,1127530,14.0,240,2021-05-17,2041-02-01,Ongoing,No,1127530,3,,Active,None,Brother,Yes,4698.0,Arjun Malhotra,31,M,Savings,769,Retail,Ahmedabad
Bank,C854,L1511,Personal Loan,Wedding Expenses,4047742,9.4,180,2021-08-04,2036-05-17,Ongoing,No,4047742,0,,Active,None,None,Yes,22487.0,Amit Patel,37,M,Current,639,SME,Bangalore
Bank,C334,L275,Car Loan,Vehicle Purchase,4079202,7.7,180,2020-02-15,2034-11-28,Ongoing,No,4079202,2,,Active,Car,Husband,No,22662.0,Sneha Nair,41,F,Current,741,Corporate,Pune
Bank,C1308,L693,Business Loan,Business Expansion,2019838,9.0,48,2020-02-08,2024-01-18,Ongoing,No,2019838,6,,Active,Factory,Father,No,42080.0,Amit Nair,34,F,Savings,710,SME,Hyderabad
Bank,C611,L1989,Personal Loan,Debt Consolidation,777554,12.3,180,2020-06-10,2035-03-24,Defaulted,Yes,777554,5,2026-02-20,Recovery,None,None,No,4320.0,Kunal Nair,47,F,Current,702,Corporate,Delhi
Bank,C1434,L1385,Car Loan,Vehicle Purchase,887818,13.3,48,2025-11-24,2029-11-03,Ongoing,No,887818,6,,Active,Car,Mother,Yes,18496.0,Sunita Sharma,21,F,Savings,711,Retail,Jaipur
Bank,C1897,L193,Home Loan,Renovation,2290757,11.2,96,2023-06-07,2031-04-26,Ongoing,No,2290757,2,,Active,House,Father,Yes,23862.0,Sunita Nair,59,F,Current,610,SME,Delhi
Bank,C947,L419,Car Loan,Vehicle Purchase,2400352,11.8,120,2020-06-22,2030-05-01,Ongoing,No,2400352,2,,Active,Car,Mother,Yes,20003.0,Pooja Gupta,54,M,Current,724,Retail,Jaipur
Bank,C1098,L1092,Education Loan,Higher Education,3381477,7.4,24,2023-11-28,2025-11-17,Closed,No,0,0,,Closed,None,Husband,No,140895.0,Anita Bansal,56,F,Current,778,Corporate,Mumbai
Bank,C1845,L382,Business Loan,Working Capital,2468693,7.3,24,2021-03-27,2023-03-17,Ongoing,No,2468693,2,,Active,Factory,None,Yes,102862.0,Sunita Verma,58,M,Savings,697,SME,Kolkata
Bank,C915,L944,Business Loan,Startup Funding,1895690,9.5,96,2025-01-29,2032-12-18,Ongoing,No,1895690,4,,Active,Factory,None,No,19747.0,Kunal Verma,24,F,Current,667,Retail,Kolkata
Bank,C1573,L227,Education Loan,Higher Education,4592436,8.1,60,2023-06-04,2028-05-08,Defaulted,Yes,4592436,6,2025-11-27,Recovery,None,Mother,Yes,76541.0,Megha Verma,44,M,Savings,729,SME,Kolkata
Bank,C87,L240,Personal Loan,Medical Expenses,922952,10.2,60,2020-06-14,2025-05-19,Closed,No,0,0,,Closed,None,Husband,No,15383.0,Deepak Malhotra,57,F,Current,687,SME,Bangalore
Bank,C1684,L104,Business Loan,Startup Funding,638020,10.5,180,2025-10-02,2040-07-15,Defaulted,No,638020,5,2024-08-16,Recovery,Factory,Father,No,3545.0,Amit Joshi,59,F,Savings,749,Retail,Jaipur
Bank,C1749,L993,Car Loan,Vehicle Purchase,3778335,12.6,60,2022-09-27,2027-09-01,Ongoing,No,3778335,2,,Active,Car,Brother,No,62972.0,Anita Joshi,25,F,Current,663,Corporate,Chennai
Bank,C357,L1764,Business Loan,Working Capital,3586207,13.5,24,2022-06-07,2024-05-27,Closed,No,0,0,,Closed,Factory,Father,No,149425.0,Arjun Desai,46,M,Current,797,SME,Kolkata
Bank,C711,L815,Business Loan,Business Expansion,1392646,13.9,60,2025-07-01,2030-06-05,Ongoing,No,1392646,6,,Active,Factory,Wife,Yes,23211.0,Shreya Verma,30,M,Savings,731,Retail,Pune
Bank,C927,L629,Personal Loan,Wedding Expenses,3650496,13.6,48,2019-03-19,2023-02-26,Defaulted,Yes,3650496,6,2024-12-26,Recovery,None,Brother,Yes,76052.0,Rahul Desai,31,F,Savings,736,Retail,Hyderabad
Bank,C1548,L1825,Personal Loan,Wedding Expenses,1922897,12.4,120,2023-09-13,2033-07-22,Ongoing,No,1922897,2,,Active,None,Brother,No,16024.0,Amit Nair,39,M,Current,777,Retail,Bangalore
Bank,C777,L1388,Home Loan,Residential Property,4741280,8.4,240,2023-03-25,2042-12-10,Ongoing,No,4741280,1,,Active,House,Father,Yes,19755.0,Vikram Joshi,48,M,Savings,745,Corporate,Mumbai
Bank,C1805,L1099,Car Loan,Vehicle Purchase,4132457,13.5,120,2025-02-05,2034-12-15,Closed,No,0,0,,Closed,Car,None,No,34437.0,Anita Joshi,59,F,Savings,673,SME,Jaipur
Bank,C476,L482,Home Loan,Residential Property,1436405,7.1,96,2025-06-09,2033-04-28,Ongoing,No,1436405,0,,Active,House,Mother,Yes,14963.0,Suresh Nair,42,F,Current,791,SME,Kolkata
Bank,C182,L636,Business Loan,Business Expansion,488260,14.8,96,2020-12-21,2028-11-09,Ongoing,No,488260,1,,Active,Factory,Brother,Yes,5086.0,Rohit Desai,48,F,Savings,777,Corporate,Kolkata
Bank,C797,L349,Car Loan,Vehicle Purchase,3126498,14.5,240,2022-05-19,2042-02-03,Ongoing,No,3126498,5,,Active,Car,None,No,13027.0,Rohit Kumar,21,F,Current,672,Corporate,Kolkata
Bank,C1700,L396,Personal Loan,Medical Expenses,2025113,7.2,240,2025-02-07,2044-10-25,Closed,No,0,0,,Closed,None,Father,No,8438.0,Suresh Desai,31,M,Current,750,SME,Gurugram
Bank,C927,L1985,Business Loan,Startup Funding,3190616,13.7,60,2025-08-15,2030-07-20,Ongoing,No,3190616,1,,Active,Factory,Mother,No,53177.0,Arjun Singh,55,M,Savings,645,SME,Delhi
Bank,C1641,L134,Education Loan,Higher Education,4461102,11.3,96,2020-04-15,2028-03-04,Ongoing,No,4461102,2,,Active,None,Father,No,46470.0,Rajesh Iyer,32,F,Savings,677,Retail,Chennai
Bank,C593,L724,Car Loan,Vehicle Purchase,1556416,9.8,60,2023-02-20,2028-01-25,Closed,No,0,0,,Closed,Car,Mother,Yes,25940.0,Arjun Patel,54,M,Current,651,Retail,Chennai
Bank,C1605,L601,Business Loan,Business Expansion,3206046,10.5,96,2020-05-15,2028-04-03,Ongoing,No,3206046,3,,Active,Factory,None,Yes,33396.0,Anjali Kapoor,29,F,Savings,702,Corporate,Hyderabad
Bank,C160,L202,Personal Loan,Debt Consolidation,4355158,13.6,48,2020-12-03,2024-11-12,Closed,No,0,0,,Closed,None,None,Yes,90732.0,Sneha Singh,58,F,Current,718,Retail,Mumbai
Bank,C844,L1952,Personal Loan,Wedding Expenses,4069939,7.9,36,2024-03-18,2027-03-03,Ongoing,No,4069939,6,,Active,None,Brother,No,113054.0,Kunal Singh,45,F,Current,692,SME,Gurugram
Bank,C521,L1834,Personal Loan,Wedding Expenses,4644246,14.2,120,2022-02-05,2031-12-15,Ongoing,No,4644246,1,,Active,None,Brother,Yes,38702.0,Anjali Rathi,43,F,Current,796,Retail,Chennai
Bank,C278,L1954,Personal Loan,Debt Consolidation,228043,12.4,240,2020-08-26,2040-05-13,Closed,No,0,0,,Closed,None,Mother,No,950.0,Shreya Desai,28,F,Savings,699,Corporate,Pune
Bank,C1772,L1172,Education Loan,Higher Education,1502963,7.4,60,2019-03-03,2024-02-05,Ongoing,No,1502963,4,,Active,None,None,No,25049.0,Amit Rathi,23,M,Current,756,SME,Chennai
Bank,C263,L1223,Personal Loan,Medical Expenses,1292678,12.5,48,2022-01-04,2025-12-14,Closed,No,0,0,,Closed,None,Brother,Yes,26931.0,Neha Iyer,54,M,Savings,752,Corporate,Patna
Bank,C1247,L203,Car Loan,Vehicle Purchase,2564386,14.2,36,2019-07-13,2022-06-27,Defaulted,Yes,2564386,1,2024-01-23,Recovery,Car,Brother,Yes,71233.0,Shalini Gupta,57,F,Current,768,Retail,Delhi
Bank,C315,L122,Personal Loan,Medical Expenses,2115717,7.7,60,2025-01-15,2029-12-20,Ongoing,No,2115717,3,,Active,None,Brother,No,35262.0,Anjali Mehta,57,F,Savings,764,Corporate,Kolkata
Bank,C1784,L838,Home Loan,Residential Property,4430130,14.4,48,2019-02-15,2023-01-25,Ongoing,No,4430130,4,,Active,House,None,Yes,92294.0,Anjali Nair,50,F,Current,672,Retail,Gurugram
Bank,C434,L1600,Education Loan,Overseas Study,3828507,13.9,96,2019-06-16,2027-05-05,Ongoing,No,3828507,5,,Active,None,Father,Yes,39880.0,Suresh Rathi,44,F,Current,658,Retail,Chennai
Bank,C503,L1446,Business Loan,Business Expansion,4314057,14.7,180,2019-12-03,2034-09-15,Ongoing,No,4314057,3,,Active,Factory,Wife,No,23967.0,Suresh Iyer,49,M,Savings,777,Corporate,Gurugram
Bank,C1485,L1259,Education Loan,Overseas Study,1075193,12.0,180,2021-02-27,2035-12-11,Defaulted,Yes,1075193,0,2024-02-19,Recovery,None,Mother,Yes,5973.0,Amit Kumar,23,M,Current,646,SME,Kolkata
Bank,C1732,L1651,Business Loan,Startup Funding,4353313,14.3,24,2020-08-10,2022-07-31,Ongoing,No,4353313,2,,Active,Factory,Husband,No,181388.0,Neha Singh,49,F,Current,697,Retail,Kolkata
Bank,C920,L1463,Personal Loan,Debt Consolidation,2360827,14.7,240,2022-09-07,2042-05-25,Ongoing,No,2360827,1,,Active,None,Brother,Yes,9837.0,Anjali Rao,24,M,Savings,773,Corporate,Kolkata
Bank,C123,L409,Education Loan,Higher Education,2467329,7.6,36,2021-10-25,2024-10-09,Ongoing,No,2467329,0,,Active,None,Husband,Yes,68537.0,Rohit Malhotra,50,M,Current,771,Retail,Delhi
Bank,C1554,L167,Home Loan,Residential Property,868304,7.9,60,2023-12-31,2028-12-04,Ongoing,No,868304,2,,Active,House,Mother,Yes,14472.0,Rajesh Malhotra,49,M,Current,766,Corporate,Bangalore
Bank,C825,L959,Business Loan,Startup Funding,1290801,12.5,60,2022-08-07,2027-07-12,Closed,No,0,0,,Closed,Factory,Husband,No,21513.0,Rahul Iyer,28,F,Current,686,Corporate,Chennai
Bank,C1933,L1656,Personal Loan,Debt Consolidation,4829385,11.4,24,2023-07-24,2025-07-13,Ongoing,No,4829385,6,,Active,None,Brother,No,201224.0,Sunita Kapoor,40,M,Savings,717,Retail,Gurugram
Bank,C813,L1599,Business Loan,Working Capital,2942263,14.8,96,2022-03-31,2030-02-17,Closed,No,0,0,,Closed,Factory,Wife,No,30649.0,Rohit Mehta,31,F,Current,754,SME,Delhi
Bank,C29,L73,Personal Loan,Wedding Expenses,1234933,8.6,36,2025-11-05,2028-10-20,Ongoing,No,1234933,2,,Active,None,Brother,No,34304.0,Anjali Nair,42,M,Current,628,SME,Lucknow
Bank,C874,L114,Education Loan,Higher Education,563081,12.8,60,2020-04-05,2025-03-10,Ongoing,No,563081,3,,Active,None,Mother,No,9385.0,Megha Kumar,28,M,Current,800,Corporate,Ahmedabad
Bank,C1652,L1404,Car Loan,Vehicle Purchase,4879004,10.1,240,2019-12-16,2039-09-02,Ongoing,No,4879004,5,,Active,Car,Brother,No,20329.0,Anita Nair,43,F,Savings,700,SME,Delhi
Bank,C835,L711,Business Loan,Startup Funding,1621278,11.1,240,2024-09-11,2044-05-29,Ongoing,No,1621278,2,,Active,Factory,Wife,No,6755.0,Meera Sharma,35,M,Savings,691,Retail,Bangalore
Bank,C449,L431,Home Loan,Residential Property,4674513,13.0,96,2025-07-25,2033-06-13,Ongoing,No,4674513,0,,Active,House,Mother,Yes,48693.0,Anjali Verma,36,M,Current,787,Corporate,Kolkata
